			UNIQUE_SIT						MaxDepth			CaMPClass1	CaMPClass2	lat	long	field_18	ZONE	AREA(SQR_K	REF	ECOZONE
			1970-1						338											
			1970-10						223											
			1970-11						455											
			1970-12						339											
			1970-13						190											
			1970-14						178											
			1970-15						221											
			1970-16						157											
			1970-17						292											
			1970-18						290											
			1970-19						475											
			1970-2						178											
			1970-20						206											
			1970-21						196											
			1970-22						86											
			1970-23						319											
			1970-24						84											
			1970-25						182											
			1970-26						155											
			1970-27						546											
			1970-28						249											
			1970-29						229											
			1970-3						218											
			1970-30						277											
			1970-31						277											
			1970-32						468											
			1970-4						71											
			1970-5						292											
			1970-6						351											
			1970-7						259											
			1970-8						511											
			1970-9						328											
			1971-1						150											
			1971-10-A						208											
			1971-10-B						142											
			1971-10-C						104											
			1971-11-A						348											
			1971-11-B						315											
			1971-12						356											
			1971-13-A						356											
			1971-14						199											
			1971-15-A						203											
			1971-15-C						155											
			1971-15-D						183											
			1971-16-A						338											
			1971-16-B						195											
			1971-17						71											
			1971-18-A						142											
			1971-18-B						193											
			1971-19-A						180											
			1971-19-B						196											
			1971-2-A						337											
			1971-2-B						264											
			1971-2-C						334											
			1971-20						114											
			1971-21						305											
			1971-22-A						211											
			1971-22-B						302											
			1971-22-C						265											
			1971-23-A						323											
			1971-23-B						259											
			1971-24-A						305											
			1971-25-A						107											
			1971-25-B						188											
			1971-26-A						282											
			1971-26-B						178											
			1971-27-A						236											
			1971-27-C						193											
			1971-28-A						183											
			1971-28-B						219											
			1971-28-C						198											
			1971-29						213											
			1971-3						270											
			1971-30						307											
			1971-31-A						231											
			1971-31-B						158											
			1971-32-A						191											
			1971-32-B						155											
			1971-33-A						350											
			1971-33-B						320											
			1971-35						137											
			1971-36						142											
			1971-4						127											
			1971-5-A						181											
			1971-5-B						172											
			1971-5-C						180											
			1971-6-A						182											
			1971-6-B						165											
			1971-7						335											
			1971-7-A						345											
			1971-8						239											
			1971-9						102											
			1972-1						182											
			1972-10-A						171											
			1972-10-B						203											
			1972-10-C						110											
			1972-11-A						143											
			1972-11-B						197											
			1972-12-A						301											
			1972-12-B						299											
			1972-12-C						253											
			1972-13-A						140											
			1972-13-B						137											
			1972-14						164											
			1972-15-A						348											
			1972-15-B						282											
			1972-16						381											
			1972-17						357											
			1972-18						287											
			1972-19						180											
			1972-2-A						242											
			1972-20-A						367											
			1972-20-B						328											
			1972-21-A						300											
			1972-21-B						161											
			1972-22-A						377											
			1972-22-B						247											
			1972-22-C						372											
			1972-22-D						401											
			1972-23-A						185											
			1972-23-B						98											
			1972-24-A						287											
			1972-24-B						145											
			1972-25						375											
			1972-26-A						62											
			1972-26-B						64											
			1972-26-C						72											
			1972-27-A						256											
			1972-27-B						194											
			1972-27-C						119											
			1972-27-D						81											
			1972-28-A						285											
			1972-28-B						88											
			1972-3-A						466											
			1972-30-A						136											
			1972-30-B						69											
			1972-30-C						140											
			1972-4-A						131											
			1972-6-A						242											
			1972-6-B						183											
			1972-7						274											
			1972-8						340											
			1972-9-A						230											
			1973-1						185											
			1973-10-A						105											
			1973-10-B						50											
			1973-10-C						95											
			1973-11-A						284											
			1973-11-B						315											
			1973-11-C						198											
			1973-12-A						185											
			1973-12-B						260											
			1973-13-A						190											
			1973-13-B						215											
			1973-13-C						275											
			1973-14-A						171											
			1973-14-B						110											
			1973-15						277											
			1973-16						263											
			1973-17-A						370											
			1973-17-B						65											
			1973-17-C						345											
			1973-18-A						223											
			1973-18-C						90											
			1973-19-A						142											
			1973-19-B						185											
			1973-20						180											
			1973-21						220											
			1973-22						310											
			1973-23-A						310											
			1973-24-A						65											
			1973-24-C						80											
			1973-5-A						305											
			1973-5-B						272											
			1973-7-A						190											
			1973-7-B						226											
			1973-8-A						214											
			1973-8-B						146											
			1973-8-C						245											
			1973-9-A						95											
			1973-9-B						83											
			1973-9-C						71											
			1975-10						111											
			1976-8						125											
			1977-20						184											
			1977-4						164											
			1981-1-A						253											
			1981-1-A						253											
			1981-1-A						42											
			1981-1-B						48											
			1981-1-B						262											
			1981-1-C						260											
			1981-10-A						361											
			1981-10-B						342											
			1981-11-A						510											
			1981-11-A						500											
			1981-11-B						488											
			1981-11-B						372											
			1981-11-C						290											
			1981-11-C						290											
			1981-12-A						105											
			1981-12-B						45											
			1981-13						64											
			1981-13						56											
			1981-14						241											
			1981-15						145											
			1981-16-A						114											
			1981-16-B						100											
			1981-16-B						100											
			1981-17-A						266											
			1981-17-B						246											
			1981-17-B						246											
			1981-18-A						566											
			1981-18-B						495											
			1981-18-B						495											
			1981-19-B						159											
			1981-19-C						152											
			1981-19-C						152											
			1981-2-A						331											
			1981-2-A						55											
			1981-2-B						291											
			1981-2-B						45											
			1981-20-A						389											
			1981-20-A						389											
			1981-20-B						343											
			1981-20-B						250											
			1981-21-A						422											
			1981-21-B						363											
			1981-21-B						363											
			1981-22						74											
			1981-23						212											
			1981-24						308											
			1981-25-A						761											
			1981-25-A						268											
			1981-26						315											
			1981-27						212											
			1981-28						207											
			1981-29						581											
			1981-3-A						408											
			1981-3-A						408											
			1981-3-B						418											
			1981-3-B						418											
			1981-3-C						356											
			1981-30						336											
			1981-31						268											
			1981-32						251											
			1981-32						251											
			1981-33						203											
			1981-34-A						261											
			1981-34-B						285											
			1981-34-B						285											
			1981-36						254											
			1981-37						229											
			1981-37						229											
			1981-38-A						439											
			1981-38-B						201											
			1981-39-A						88											
			1981-39-C						211											
			1981-4-A						64											
			1981-4-A						64											
			1981-4-A						6											
			1981-4-A						44											
			1981-4-B						188											
			1981-4-B						8											
			1981-4-B						27											
			1981-4-B						42											
			1981-40-A						230											
			1981-40-B						212											
			1981-41						101											
			1981-42						290											
			1981-43						97											
			1981-44						136											
			1981-44						132											
			1981-45-A						248											
			1981-45-B						222											
			1981-46						267											
			1981-47-A						211											
			1981-47-B						164											
			1981-47-B						164											
			1981-48						221											
			1981-49						419											
			1981-5						225											
			1981-50						313											
			1981-50						313											
			1981-51-A						345											
			1981-51-B						329											
			1981-51-B						329											
			1981-52-A						757											
			1981-52-A						757											
			1981-52-B						745											
			1981-52-B						751											
			1981-53						362											
			1981-53						356											
			1981-54-A						165											
			1981-54-B						240											
			1981-55						297											
			1981-55-A						293											
			1981-55-B						326											
			1981-55-B						326											
			1981-55-C						324											
			1981-55-C						324											
			1981-55-D						316											
			1981-55-D						316											
			1981-56						328											
			1981-56						334											
			1981-57						115											
			1981-58						308											
			1981-58						308											
			1981-59						475											
			1981-6-A						377											
			1981-6-A						377											
			1981-6-B						357											
			1981-6-B						357											
			1981-6-B						116											
			1981-60						276											
			1981-7-A						356											
			1981-7-A						356											
			1981-7-B						338											
			1981-8-A						382											
			1981-8-B						363											
			1981-9-A						338											
			1981-9-B						298											
			1981-9-B						257											
			1982-1						97											
			1982-10						66											
			1982-11						170											
			1982-12-A						184											
			1982-12-B						174											
			1982-13-A						297											
			1982-13-B						255											
			1982-14						43											
			1982-15-A						239											
			1982-15-B						186											
			1982-15-C						206											
			1982-16-A						278											
			1982-16-B						226											
			1982-17-A						374											
			1982-17-A						297											
			1982-17-B						282											
			1982-18-A						309											
			1982-18-B						224											
			1982-18-B						224											
			1982-19-A						92											
			1982-19-A						92											
			1982-19-B						110											
			1982-19-B						99											
			1982-2						290											
			1982-2						335											
			1982-20						110											
			1982-21-A						365											
			1982-21-B						366											
			1982-22-A						323											
			1982-22-B						252											
			1982-23-A						261											
			1982-23-B						191											
			1982-23-B						191											
			1982-24-A						293											
			1982-24-B						281											
			1982-24-B						281											
			1982-25						194											
			1982-26-A						304											
			1982-26-A						304											
			1982-26-B						259											
			1982-26-B						249											
			1982-27						248											
			1982-28-A						303											
			1982-28-A						293											
			1982-28-B						260											
			1982-28-C						230											
			1982-29						325											
			1982-29						44											
			1982-3-A						60											
			1982-3-A						64											
			1982-3-B						30											
			1982-30						339											
			1982-30						144											
			1982-31-A						219											
			1982-31-B						190											
			1982-31-B						70											
			1982-32-A						151											
			1982-32-B						80											
			1982-32-B						80											
			1982-33						187											
			1982-34						250											
			1982-35-A						395											
			1982-35-B						390											
			1982-36						137											
			1982-37-A						229											
			1982-37-B						180											
			1982-37-B						180											
			1982-38						270											
			1982-39						324											
			1982-4						120											
			1982-40-A						303											
			1982-40-B						241											
			1982-41						175											
			1982-42						80											
			1982-43						186											
			1982-44-A						187											
			1982-44-B						145											
			1982-45-A						192											
			1982-45-B						205											
			1982-45-B						207											
			1982-46-A						438											
			1982-46-B						427											
			1982-47						106											
			1982-48-A						229											
			1982-48-B						190											
			1982-48-B						190											
			1982-49-A						140											
			1982-49-B						228											
			1982-5-A						135											
			1982-5-A						135											
			1982-5-B						120											
			1982-5-B						120											
			1982-50-A						146											
			1982-50-B						144											
			1982-51						84											
			1982-52						161											
			1982-53-A						145											
			1982-53-B						127											
			1982-54						56											
			1982-55-A						179											
			1982-55-B						164											
			1982-55-B						170											
			1982-56						136											
			1982-57						265											
			1982-58						271											
			1982-59-A						121											
			1982-59-B						100											
			1982-59-B						100											
			1982-6						168											
			1982-60						274											
			1982-61						265											
			1982-62						215											
			1982-63-A						233											
			1982-63-B						367											
			1982-63-C						286											
			1982-64						133											
			1982-65						243											
			1982-7						146											
			1982-8-A						222											
			1982-8-B						199											
			1982-9-A						181											
			1982-9-A						204											
			1982-9-B						116											
			1983-1-A						273											
			1983-1-A						273											
			1983-10						298											
			1983-11						510											
			1983-12-A						340											
			1983-12-B						370											
			1983-12-B						370											
			1983-12-C						367											
			1983-12-C						275											
			1983-13-A						170											
			1983-13-A						170											
			1983-13-B						139											
			1983-13-B						139											
			1983-14						50											
			1983-15-A						296											
			1983-15-B						257											
			1983-15-C						267											
			1983-15-D						310											
			1983-16-A						260											
			1983-16-B						246											
			1983-16-B						246											
			1983-17						289											
			1983-18						84											
			1983-19-A						259											
			1983-19-A						137											
			1983-19-B						227											
			1983-19-B						227											
			1983-2-A						196											
			1983-2-B						174											
			1983-20						115											
			1983-20						120											
			1983-21						195											
			1983-21						210											
			1983-22-A						295											
			1983-22-B						298											
			1983-23-A						214											
			1983-23-B						142											
			1983-24						230											
			1983-24						252											
			1983-25						145											
			1983-26						269											
			1983-27-A						162											
			1983-27-B						130											
			1983-27-B						130											
			1983-28-A						336											
			1983-28-B						281											
			1983-28-C						252											
			1983-29						597											
			1983-3-A						160											
			1983-3-B						124											
			1983-3-B						124											
			1983-30						476											
			1983-30						476											
			1983-31-A						165											
			1983-31-A						165											
			1983-31-B						201											
			1983-32-A						125											
			1983-32-B						142											
			1983-32-B						142											
			1983-33-A						212											
			1983-33-B						174											
			1983-33-B						174											
			1983-34						134											
			1983-35						133											
			1983-36						271											
			1983-37						305											
			1983-38						256											
			1983-39						85											
			1983-4						227											
			1983-40-A						151											
			1983-40-B						130											
			1983-40-B						130											
			1983-41						130											
			1983-41						130											
			1983-42						174											
			1983-42						168											
			1983-43-A						126											
			1983-43-B						105											
			1983-43-B						105											
			1983-44-A						200											
			1983-44-B						144											
			1983-44-B						144											
			1983-45-A						172											
			1983-45-B						110											
			1983-45-B						110											
			1983-46						482											
			1983-46						482											
			1983-47						341											
			1983-47						341											
			1983-48						200											
			1983-49-A						183											
			1983-49-B						269											
			1983-49-B						269											
			1983-5-A						221											
			1983-5-B						222											
			1983-5-B						222											
			1983-5-C						155											
			1983-50						360											
			1983-50						68											
			1983-51						322											
			1983-52						662											
			1983-52						66											
			1983-53						358											
			1983-54						210											
			1983-54						210											
			1983-55						312											
			1983-56						289											
			1983-57						301											
			1983-58						292											
			1983-59						466											
			1983-6						52											
			1983-7						58											
			1983-8-A						254											
			1983-8-B						238											
			1983-8-B						238											
			1983-9						127											
			1984-1-A						301											
			1984-1-B						215											
			1984-1-B						134											
			1984-10						186											
			1984-10						186											
			1984-10						270											
			1984-11						384											
			1984-11						200											
			1984-12						383											
			1984-13						142											
			1984-14						409											
			1984-15						459											
			1984-16						196											
			1984-17						402											
			1984-18						342											
			1984-19						124											
			1984-19						124											
			1984-2						176											
			1984-20						386											
			1984-21						250											
			1984-21						264											
			1984-22-A						215											
			1984-22-A						205											
			1984-22-B						211											
			1984-23						195											
			1984-24						145											
			1984-25						170											
			1984-26-A						296											
			1984-26-B						242											
			1984-26-B						242											
			1984-27						238											
			1984-28						282											
			1984-29-A						247											
			1984-29-A						230											
			1984-29-B						150											
			1984-3						120											
			1984-3						207											
			1984-30						136											
			1984-31						247											
			1984-32						289											
			1984-32						289											
			1984-33						236											
			1984-34						285											
			1984-35						179											
			1984-35						175											
			1984-36-A						356											
			1984-36-B						325											
			1984-36-B						302											
			1984-37						253											
			1984-38						61											
			1984-39						221											
			1984-4-A						208											
			1984-40						392											
			1984-41-A						136											
			1984-41-A						262											
			1984-41-A						136											
			1984-41-B						119											
			1984-42						246											
			1984-43-A						396											
			1984-43-B						336											
			1984-43-B						336											
			1984-43-C						284											
			1984-44						566											
			1984-45						666											
			1984-46						397											
			1984-47						201											
			1984-48-A						166											
			1984-48-B						133											
			1984-48-B						143											
			1984-49						243											
			1984-5						78											
			1984-50						388											
			1984-51						571											
			1984-52						463											
			1984-53						313											
			1984-53						115											
			1984-54						385											
			1984-55						206											
			1984-56						256											
			1984-57						174											
			1984-58-A						372											
			1984-58-B						171											
			1984-59						171											
			1984-6						183											
			1984-60						116											
			1984-61						700											
			1984-61						706											
			1984-62						178											
			1984-63						398											
			1984-63						240											
			1984-64						284											
			1984-65						166											
			1984-66-A						268											
			1984-66-B						242											
			1984-66-B						242											
			1984-67						206											
			1984-68						103											
			1984-69						183											
			1984-7						250											
			1984-7						250											
			1984-70						228											
			1984-71						154											
			1984-72						449											
			1984-72						170											
			1984-72						270											
			1984-73						323											
			1984-74						232											
			1984-75-A						373											
			1984-75-B						330											
			1984-75-B						330											
			1984-76						441											
			1984-8						374											
			1984-8						374											
			1984-9						431											
			1989-1						251											
			1989-10-A						162											
			1989-10-B						110											
			1989-11-A						249											
			1989-11-A						249											
			1989-11-B						261											
			1989-13-A						116											
			1989-13-B						242											
			1989-14-A						391											
			1989-14-B						402											
			1989-15						73											
			1989-16-A						312											
			1989-16-B						278											
			1989-17-A						314											
			1989-17-B						273											
			1989-18-A						235											
			1989-19-A						215											
			1989-19-B						240											
			1989-3						143											
			1989-4						176											
			1989-5						112											
			1989-6						280											
			1989-8						282											
			1989-9						261											
			1989-9						36											
